2026-04-16 12:29:24 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-04-16 12:35:29 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-04-16 14:24:49 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-04-16 14:25:15 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-04-17 15:51:53 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-04-17 15:53:09 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-04-17 16:30:50 [info] [remote] powerMonitor resume; probing SSH controllers
2026-04-17 16:30:52 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-17 18:35:25 [info] [remote] powerMonitor resume; probing SSH controllers
2026-04-17 18:35:27 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-17 20:59:25 [info] [remote] powerMonitor resume; probing SSH controllers
2026-04-17 20:59:27 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-18 13:48:04 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-04-18 16:35:27 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-18 16:35:31 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-18 19:02:12 [info] [remote] powerMonitor resume; probing SSH controllers
2026-04-18 19:02:13 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-18 19:24:09 [info] [remote] powerMonitor resume; probing SSH controllers
2026-04-18 19:24:12 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-18 23:08:46 [info] [remote] powerMonitor resume; probing SSH controllers
2026-04-18 23:08:48 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-18 23:12:26 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-19 20:48:42 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-04-19 20:55:40 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-19 23:22:25 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-04-20 15:18:45 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-04-20 15:36:48 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-20 23:06:50 [info] [remote] powerMonitor resume; probing SSH controllers
2026-04-20 23:06:52 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-20 23:07:19 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-04-20 23:21:16 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-04-21 09:45:41 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-04-21 10:10:19 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-21 10:47:57 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-04-21 11:39:57 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-21 12:18:30 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-21 12:39:58 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-21 12:49:48 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-04-21 14:23:05 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-21 15:30:08 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-21 16:26:28 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-21 17:35:22 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-21 18:14:35 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-21 18:14:35 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-21 18:28:46 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-21 19:00:20 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-21 19:13:25 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-21 19:48:22 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-04-21 19:52:17 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-21 19:59:20 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-21 20:13:12 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-21 20:24:57 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
